Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
526,Gryffindor,Quinn,Blackwood,1997-02-05,Right,59486.0,474.6363366941703,-6.427009833572428,-4.746363366941703,3.789,-169.09161432969998,610.6254957091297,-3.864115237508349,948.2378788745604,3.2946954431348647,1.2654724648536018,-253.74228,150.91
354,Hufflepuff,Gina,Dooley,2001-08-07,Right,63699.0,369.8154407399825,5.736038751572963,-3.6981544073998247,4.029,-599.5757650831501,387.35136663385794,1.727201669666833,1062.3882450311337,2.1131766068350992,0.0512882143447996,-245.68924,1.54
168,Slytherin,Ervin,Shelley,1998-08-03,Left,,-273.0798764317556,-6.7004688031395006,2.730798764317556,-5.218999999999999,-287.89289199806507,,4.3059580578709085,1020.1217758343696,6.548906544029237,-1.6185929132396442,-255.2995,-95.88
135,Ravenclaw,Lloyd,Blair,1997-05-13,Right,,-410.0433800648359,5.424500213157987,4.100433800648359,6.28,646.3970505738997,615.1309059306952,3.389682670285141,1049.400574764988,3.699480696959432,-1.272503416840197,-231.8865,-25.3
937,Hufflepuff,Zenaida,Mclaurin,1999-11-07,Left,35205.0,641.5529712655081,3.410870019182461,-6.415529712655081,7.016,-539.3440197195158,419.7907246277919,2.791255926744989,1053.1413662671705,5.354643729739603,-1.4226623405422438,-244.61918,31.28
1544,Hufflepuff,Eddie,Blackwell,1997-07-14,Right,52079.0,571.1661684198461,4.483544285664125,-5.711661684198463,5.37,-468.4732614148186,394.1912682186811,2.9971803997750874,1051.8181870807744,3.3481380963718914,0.5472530371951927,-245.75151,3.09
1253,Hufflepuff,Lauri,Nieto,1998-03-19,Left,48017.0,530.9722434660815,2.741485709135787,-5.3097224346608165,7.0820000000000025,-814.5656329029581,411.5496493243264,6.307597410721727,1076.4410720682945,8.684715524996168,-1.1342062362161294,-243.92184,-36.54
237,Ravenclaw,Kurtis,Gilbert,1999-08-22,Right,79921.0,-362.7809783382849,4.994598845871492,3.62780978338285,6.6610000000000005,659.9753170166288,571.2755859306069,4.5430171582519625,1050.249444758528,2.5641565046084933,-0.6075281623329161,-232.57179,-65.64
478,Gryffindor,Sabina,Hare,1999-08-30,Right,54085.0,278.4625454456463,-6.279349907173388,-2.784625454456463,5.109,-296.83400728651964,563.656878963847,-5.136535223203857,945.2472353798128,-0.4275821868637179,-0.2938234470217553,-252.16262000000003,142.1
650,Slytherin,Liz,Treadway,1997-12-18,Right,31416.0,-600.6628289089797,-4.228617664564094,6.0066282890897975,-5.06,-612.0283668804631,382.46162639904816,5.524150362404399,1061.816175335879,,-0.9715763749001982,-247.79735,-60.47
514,Hufflepuff,Patricia,Monroe,1998-05-18,Left,59834.0,359.18316714929614,5.131928361699223,-3.5918316714929617,6.067,-450.8973149922863,399.04129957349136,7.174774081490999,1046.344201380468,4.373252053742204,-1.0981647670081822,-242.01139,-52.27
1103,Ravenclaw,Preston,Foltz,1997-01-16,Right,30256.0,-498.4793206354821,5.329250342270762,4.984793206354821,4.6110000000000015,340.3675070215716,582.4939554176815,5.369517098173269,1052.7435805245425,8.570619544330382,0.1147191538318516,-230.31067,19.41
968,Gryffindor,Rudolf,Childs,1997-11-25,Left,40517.0,485.9093515833935,-3.5830271323233585,-4.8590935158339335,7.029,-267.91466314981943,632.6979850909718,-4.529504515195481,973.2042579719632,4.406556479587785,1.0062567072277986,-248.2284,185.89
1569,Ravenclaw,Louis,Ligon,2000-09-01,Right,56567.0,-376.847215598477,5.945242266399736,3.7684721559847705,6.567,254.6250631583076,,6.411162439424027,1038.5135980003745,7.924885970185523,-0.5248858695052817,-230.40814,7.5
584,Ravenclaw,Gena,Mendez,1997-07-03,Right,28057.0,-638.6643375482198,3.0706969609359804,6.386643375482197,3.153,398.2516495922112,570.0235401622484,1.509748879225243,1035.2329870670712,5.088396411388446,0.6350920439825811,-233.24278,48.88
65,Hufflepuff,Jessica,Tanner,1999-12-11,Left,73353.0,376.58535593551886,4.537302114503309,-3.7658535593551887,6.843,-705.9976763015817,385.06261250357255,6.401809033311918,1071.026217904592,4.42061772532745,0.8373674019463226,-243.33105,-80.51
30,Hufflepuff,David,Mcclelland,2000-03-11,Left,48984.0,600.0813499884385,3.464527018807125,-6.0008134998843845,6.881,-678.5236439998978,387.2356260460736,5.68741322272218,1069.242717805681,6.449913395821935,1.9518172949103816,-244.6194,-36.54
904,Slytherin,Janette,Coleman,2000-03-11,Right,42227.0,-483.18394632327767,-3.931733519773161,4.831839463232777,-3.912,-674.349857968336,397.7111675275944,,1055.6689650493977,10.379274889578706,-1.0308276439595347,-248.3285,-59.13
367,Hufflepuff,Latrice,Camacho,1999-10-17,Right,,556.7097833110748,7.17032078711684,-5.567097833110749,1.925,-407.27334848877314,449.1092096094355,5.798675396026454,1026.324832138678,8.267439680986891,-1.5257382839656173,-244.10253,76.5
1134,Gryffindor,Tessa,Hargett,1999-05-28,Left,52675.0,519.4139193062413,-5.4289960203208025,-5.194139193062412,4.685,-300.1617955375129,582.1022342218332,-4.719996511027769,948.9520407268986,1.790658751725522,0.284104399733422,-253.42221,165.28
1487,Slytherin,Felipe,Carvalho,1999-08-25,Left,49552.0,-569.5697018083997,-5.9903760372481125,5.6956970180839965,-5.303999999999999,-498.8573434335991,377.3037096775228,6.236051780329905,1050.491858721991,9.643307353843626,-0.3099961601159116,-250.0961,-101.81
485,Hufflepuff,Cyril,Tanaka,1998-11-19,Left,63400.0,717.2686503460463,5.185773167194882,-7.172686503460463,4.747,-364.0208199087946,336.03108524921794,2.9153237529678435,1051.7110855616213,0.3979195002644049,-1.1268861431388777,-248.25002,-30.45
1548,Slytherin,Carrol,Hacker,1997-02-05,Right,47872.0,-609.9364019954928,-2.969000171144203,6.09936401995493,-3.3,-687.2218381189623,373.72850162807055,5.919966234074312,1043.7168672590287,,-0.5648944417326162,-246.98398,-75.5
374,Hufflepuff,Francisca,Chester,1999-11-14,Right,46440.0,432.2499061756282,3.17321492253707,-4.3224990617562815,6.1770000000000005,-485.57315769819024,391.51052384298765,5.950994015594658,1054.707138919307,5.394657352540685,0.0544518817822843,-243.45066,-39.76
29,Hufflepuff,Brandy,Andrus,2000-12-27,Right,48832.0,458.3420379432199,3.331786028979228,-4.583420379432199,5.794,-357.1443808641858,327.38462690306415,8.575962196183463,1051.3448283965224,4.055017084006755,0.2177364837259843,-243.73112000000003,-100.06
1142,Slytherin,Leonard,Gaither,1997-04-28,Right,55745.0,-296.48479898979843,-7.603556915966211,2.9648479898979843,-7.228,-598.3324978220103,385.6795369390843,4.801351254357023,1084.4516497682396,13.294426849736992,-1.7824940588424285,-255.227,-98.85
958,Hufflepuff,Suzan,Graves,1999-08-09,Left,65890.0,303.35214532021524,3.5185228443601897,-3.0335214532021526,6.952999999999999,-625.1498235417652,467.6622165400312,2.6970434035746926,1059.6059684093464,4.783540995886532,-0.0814118184565224,-242.98969,-0.86
1466,Hufflepuff,Sharla,Metzger,1999-04-02,Left,16894.0,619.747765696056,5.625563787168502,-6.19747765696056,3.884,-394.7294467435639,464.3275982706536,4.805481196464049,1024.6392798895722,8.6963496052725,0.5224952643996339,-243.29676,98.67
332,Hufflepuff,Lela,Tuttle,1998-08-11,Left,36507.0,377.3454214922188,7.356246396261048,-3.773454214922188,3.831,-226.5426678267859,299.9832769012167,,1032.330124685435,0.7149437553624511,1.5436862580879402,-242.38598,-42.05
712,Gryffindor,Young,Duke,1997-09-26,Left,25078.0,492.9518608527992,-4.6715286140582535,-4.929518608527991,6.931,-316.0662040520229,576.8473179992889,-4.891588037966408,,1.8529746736215496,-0.3596353845531158,-249.60717,195.73
70,Ravenclaw,Milo,Wicks,1997-05-10,Right,,-189.27003255905225,4.7061151410689135,1.892700325590522,7.776,636.457836760555,618.4120768692837,5.972014066480608,1065.549153467155,8.157173029037725,1.3578528720761662,-230.66224,-34.52
289,Gryffindor,Calvin,Stauffer,1999-03-23,Right,36467.0,630.1191712878914,-6.005137508490438,-6.3011917128789126,4.474,-439.672360059722,558.9078755221758,-3.754066172102528,947.1983325098108,3.532585304463953,-0.0889275928926895,-254.29191,177.01
987,Gryffindor,Clair,Keener,1997-03-10,Left,29786.0,283.64811844149574,-4.62744909380308,-2.8364811844149576,7.937,-63.712911151838725,570.3616375327963,-3.719277333643428,986.0561557211556,2.3388793040737337,-0.3280216290413217,-245.76393,122.72
1526,Hufflepuff,Cathryn,Horn,2001-03-13,Right,42165.0,437.7019886842166,5.0015334653316605,-4.377019886842167,3.221,-556.1046904344488,357.7061703542378,5.695178521029768,1059.0170762951475,5.63230685629218,0.2405617358604913,-245.09144,-20.48
416,Slytherin,Cortez,Crider,1997-07-21,Left,56810.0,-378.210633689953,-5.145374066186927,3.78210633689953,-7.308,-400.8647165059008,423.792627556952,1.9670423966550483,1062.431687975669,9.984563818884844,-0.3718013547832063,-253.53384,-35.96
1087,Gryffindor,Maxine,Ellington,2001-08-27,Right,49404.0,482.5169755971307,-8.217638866905574,-4.825169755971307,3.013,-309.28339253312305,559.0677416767559,-1.8382368824305195,950.574221888671,4.710657734116417,0.0944746141035954,-255.24869,117.31
324,Hufflepuff,Arlen,Keller,1998-04-09,Right,59307.0,652.9188279676603,2.2373219421068327,-6.529188279676603,5.96,-577.5800963375425,417.04243098400144,5.648793719916228,1062.3734586855842,,0.1191312505348614,-246.58042000000003,-37.49
617,Ravenclaw,Stanford,Eng,2001-02-03,Left,58358.0,,2.726615687438221,6.210986751785014,3.837,529.1412446081572,577.6381418431721,4.433544510243261,1042.7763447869547,5.337638782709379,-1.0553015401073058,-233.19845,-33.89
380,Hufflepuff,Carol,Wilson,1998-12-17,Right,40414.0,753.4635137796266,6.291111468943551,-7.534635137796266,3.213,-202.8091957035153,283.8696087336624,3.969302000009869,1038.47165336542,-0.1864956093873795,-1.0013995734642809,-247.97369,-17.63
173,Ravenclaw,Eldon,Hutson,2000-11-22,Right,41173.0,-544.0067552335277,6.354748419748845,5.440067552335278,4.9510000000000005,445.99328728750993,586.5497458798066,5.762430794435655,1065.8739977371272,8.168992185957858,-1.738913379179336,-228.98087,-8.41
634,Ravenclaw,Olive,Hendrick,2000-07-23,Right,42350.0,-599.5641198827988,7.824663314582906,5.995641198827987,4.625,107.04128229739278,586.1626266390185,3.7324404210198665,1022.2304842562062,4.599536535708436,0.9028841202008436,-230.22546,65.13
701,Hufflepuff,Kay,Barry,2001-02-06,Left,48581.0,596.9110244310009,4.892875036595275,-5.969110244310008,3.498,-638.8944818457873,409.6526277683738,1.5262896849421723,1061.6313305235672,5.2601757755103655,0.8356000894579891,-247.50971,44.73
1521,Ravenclaw,Kraig,Friday,2000-06-04,Right,56974.0,-684.1079066619286,5.309308948977173,6.841079066619287,4.55,615.7953506389223,589.9871075923998,5.3303291080718935,1054.2206947159798,5.746638240940437,0.3013622987491152,-229.56493,-36.1
